PMID,DOI,Year,Suggested_Tier,Reason_Tier,Bioactivity_Extracted_NLP,Abstract
41110593,10.1016/j.ijid.2025.108147,2025,1.0,Tier 1: enzymatic/direct,,"Infectious diseases and high-consequence infectious diseases (HCID), are often present in febrile travelers. Multiplex polymerase chain reaction (PCR) may help to confirm or rule out HCIDs and thus prevent a delay in treatment or undue isolation. The BioFire® FilmArray® Global Fever Panel-RUO was evaluated vs conventional methods in diagnostics in febrile returning travelers. Eighty-two patients and three simulated patients with HCIDs were analyzed. A total of 10 of the 19 possible pathogens were detected by multiplex PCR. In 30 samples, at least one pathogen was detected by the multiplex PCR, as compared to 35 with conventional diagnostics. The positive percentage agreement was 85.71% (69.74-95.19) overall: Crimean-Congo hemorrhagic fever virus 1/1, dengue virus 4/4, Ebola virus 1/1, Leptospira 1/2 (50%, 1.26-98.74), Marburg virus 1/1, Plasmodium spp. 22/23 (95.65%, 78.05-99.89), Plasmodium falciparum 19/20 (95%, 75.13-99.89), Plasmodium vivax/ovale 2/2, Salmonella enterica serovar typhi 0/2, and Salmonella enterica serovar Paratyphi 0/1. The overall negative percentage agreement was 96.0% (86.29-99.51). The multiplex PCR detected pathogens from blood with varying levels of specificity and sensitivity in less than 1 hour. For HCID, it could shorten the time to diagnosis. However, Salmonella enterica spp. or Leptospira spp. were detected infrequently."
41096947,10.3390/ijms26199681,2025,1.0,Tier 1: enzymatic/direct,,"<i>Bacillus subtilis</i> DinG/XPD-like paralogues, DinG and YpvA, have been implicated in overcoming replication stress. DinG possesses a DEDD exonuclease and DNA helicase domains, whereas YpvA lacks the DEDD exonuclease domain. We report that DinG·Mg<sup>2+</sup> (hereafter referred to as DinG) degrades linear single-stranded (lss) DNA with 3'→5' polarity and binds lssDNA with higher affinity than its exonuclease-deficient mutant DinG D10A E12A. DinG's ssDNA-dependent ATPase activity neither stimulates nor inhibits DNA degradation. When bound to the 3'-end of forked DNA, DinG destabilises and degrades the substrate; however, in the presence of ATP, DinG dissociates before reaching the duplex junction. DinG degrades the RNA strand within RNA-DNA hybrids but does not cleave lssRNA unless complexed with Mn<sup>2+</sup>. DinG removes genomic R-loops, as RnhC and PcrA do. DinG physically interacts with RecA and PolA and functions in the same pathway as translesion synthesis (TLS) DNA polymerases (DNAPs) to respond to both spontaneous and methyl methanesulphonate (MMS)-induced mutagenesis. DinG-mGold forms spontaneous foci at or near replication forks, which become enriched following MMS or rifampicin treatment. We propose that DinG contributes to mitigating replication stress by degrading R-loop barriers and facilitating TLS, potentially via RecA-linked mechanisms."
40999340,10.1186/s12879-025-11273-y,2025,1.0,Tier 1: enzymatic/direct,,"Ebolavirus and related filoviruses are feared pathogens due to high mortality rates, and cases are confirmed using reverse transcription-polymerase chain reaction (RT-PCR) testing. Compared to rapid diagnostic testing (RDT), RT-PCR has higher accuracy but longer turnaround time and lower testing rate. RDTs' accuracy for Ebola does not meet the World Health Organization's (WHO) target product profile (TPP). This TPP, however, excludes trade-offs between accuracy, time-to-isolation (the time from getting tested to getting hospitalized and isolated), and accessibility. This research aims to guide diagnostic test development and use by identifying trade-offs in accuracy, time-to-isolation, and accessibility that enable impactful outbreak response. A mathematical compartmental model was calibrated to the 2014-2016 Sierra Leone EBOV epidemic, including test accuracy, accessibility, and time-to-isolation parameters. These parameters were varied to evaluate their impact on total epidemic size in different in isolation and in combination. Reductions in EBOV test sensitivity or specificity alone will increase the expected number of cases from 11.7 to 223%, while any decrease in time-to-isolation alone (due to a more rapid test result) or increase in testing rate alone would decrease the expected number of cases by 47.7-87.7%. When combining the three factors together, the benefits associated with an RDT would outweigh the harms, with a combined net reduction of mean cases between 71.6 and 92.3%. When coupled with a more rapid turnaround time and increase in test access, the use of a lower performance test can result in significantly reduced epidemic size compared to relying on PCR alone in an EBOV outbreak in a resource-limited setting."
40978313,10.1016/j.mbm.2025.100156,2025,1.0,Tier 1: enzymatic/direct,,"Nonsegmented negative-sense RNA viruses (nsNSVs)-including highly pathogenic pathogens such as measles virus (MeV), Nipah virus (NiV), Hendra virus (HeV), Ebola virus (EBOV), and others-pose major global health threats, yet most lack approved antiviral therapeutics. In the recent study, high-resolution cryo-electron microscopy (cryo-EM) revealed previously unrecognized allosteric pockets in the large (L) polymerase proteins of MeV and NiV, spatially distinct from the catalytic nucleotide-binding site. We further demonstrated that the non-nucleoside inhibitor ERDRP-0519 engages these pockets to allosterically 'lock' the polymerase in a mechanically inactive state. These findings reveal an allosteric mechanism of inhibition rooted in the conformational mechanics of the enzyme and highlight opportunities for integrating artificial intelligence (AI)-aided drug discovery (AIDD) into rational drug design."
40970908,10.1021/acssynbio.5c00477,2025,1.0,Tier 1: enzymatic/direct,,"The bottom-up reconstruction of cellular functions has gained increasing attention for studying biological complexity and for developing advanced biotechnological tools, including synthetic cells. A fundamental challenge is the ability to control and replicate DNA-encoded information within basic <i>in vitro</i> transcription-translation (IVTT) systems. Here, we constructed a transcription-translation coupled DNA replication (TTcDR) system that is based on a modified PURE (<u>P</u>rotein synthesis <u>U</u>sing <u>R</u>ecombinant <u>E</u>lements) IVTT system and Φ29 DNA polymerase, which is controlled by external signals. To this end, we first established and characterized a PUREfrex 1.0-based TTcDR system. We then constructed and optimized TetR-based control of TTcDR activity, either by DNA-encoded TetR or by supplying purified TetR. Our final DNA-encoded TetR circuit allows ∼1000-fold DNA replication, ∼100-fold repression, and ∼4-fold induction with anhydrotetracycline. Our results demonstrate the potential and challenges of controlling <i>in vitro</i> DNA replication, for example, for the evolution of <i>in vitro</i> systems."
40822308,10.1016/j.imj.2025.100196,2025,1.0,Tier 1: enzymatic/direct,,"In recent years, frequent outbreaks of infectious diseases caused by hemorrhagic fever viruses have posed serious threats to global public health. The pathogens are variable and highly infectious, such as Sudan <i>ebolavirus</i> (SEBOV), Zaire <i>ebolavirus</i> (ZEBOV), Marburg <i>marburgvirus</i> (MARV), <i>Lassa mammarenavirus</i> (LASV), Rift Valley fever <i>phlebovirus</i> (RVFV), Sin Nombre <i>orthohantavirus</i> (SNV), etc. To improve the efficiency of pathogen detection, a method for simultaneous screening multiplex targets is in a great demand. Utilizing dual-probe hybridization and melting curve analysis, a multiplex nucleic acid polymerase assay for eight hemorrhagic fever viruses test (named the MPA-eight-virus assay) was developed in this study. The sensitivity for each target was improved by optimizing primer and probe selection as well as amplification conditions; the usability of MPA-eight-virus assay was validated by simulated samples preparation and test. The MPA-eight-virus assay achieved high sensitivity and specificity for the targets, with a limit of detection (LOD) of 1.83-691.00 copies/µL for all eight targets; Notably, the LOD for MARV was 1.83 copies/µL and that for SNV was 9.32 copies/µL. The MPA-eight-virus assay is high throughput, time-saving, accurate, and cost-effective, making it potentially useful for prevention and control of severe viral hemorrhagic fever."
40744862,10.1128/spectrum.01078-25,2025,1.0,Tier 1: enzymatic/direct,,"The rapid and accurate detection of highly pathogenic viruses is critical for public health, especially in the context of potential bioterrorism threats. This study presents a novel multiplex probe amplification (MPA) assay combined with melting curve analysis for the simultaneous detection of nine high-threat viral agents: Ebola virus, Lassa virus, Crimean-Congo hemorrhagic fever virus, Rift Valley fever virus, Chikungunya virus, Monkeypox virus, Eastern equine encephalitis virus, Tick-borne encephalitis virus, and Venezuelan equine encephalitis virus. The MPA-nine-viruses assay utilizes three fluorescence channels and unique melting temperatures to differentiate between targets, achieving high sensitivity with a limit of detection as low as 1.5-15 copies/μL. The MPA-nine-viruses was highly specific and distinguished mixed targets accurately, even for the nine viruses' mixture. The assay was validated using 392 simulated samples (including serum, swabs, mosquito vectors, and soil samples) and 22 clinical samples, demonstrating 100% accuracy. The MPA-nine-viruses assay offers a cost-effective, high-throughput solution for large-scale screening and is poised to play a crucial role in the prevention and control of outbreaks and bioterrorism events involving these pathogens. Ebola virus, Lassa virus, Crimean-Congo hemorrhagic fever virus, Rift Valley fever virus, Chikungunya virus, Monkeypox virus, Eastern equine encephalitis virus, Tick-borne encephalitis virus, and Venezuelan equine encephalitis virus can cause severe infections and diseases, such as hemorrhagic fever, encephalitis, meningitis, and chikungunya fever. These viruses pose significant threats to public health due to their high infectivity and mortality rates, and they could potentially be used as bioterrorism agents. Early detection is the most critical step for effective prevention and control of infection. However, there is no sensitive nucleic acid detection method for the nine high-threat viral agents tested simultaneously. In this study, we developed multiplex probe amplification (MPA) with Melting Curve PCR method, named MPA-nine-viruses, which overcame the limitation of the available fluorescence channel number and realized simultaneous detection of nine high-threat viral agents in a single reaction, with high sensitivity and specificity for the targets."
40728975,10.3390/cimb47070506,2025,1.0,Tier 1: enzymatic/direct,,"This study focuses on exploring potential inhibitors of the Marburg virus interferon inhibitory domain protein (MARV-VP35), which is responsible for immune evasion and immunosuppression during viral manifestation. A combination of in silico techniques was applied, including structure-based pharmacophore virtual screening, molecular docking, absorption, distribution, metabolism, excretion, and toxicity (ADMET) analysis, molecular dynamics (MD), and molecular stability assessment of the identified hits. The docking scores of the 14 selected ligands ranged between -6.88 kcal/mol and -5.28 kcal/mol, the latter being comparable to the control ligand. ADMET and drug likeness evaluation identified Mol_01 and Mol_09 as the most promising candidates, both demonstrating good predicted antiviral activity against viral targets. Density functional theory (DFT) calculations, along with relevant quantum chemical descriptors, correlated well with the docking score hierarchy, and molecular electrostatic potential (MEP) mapping confirmed favorable electronic distributions supporting the docking orientation. Molecular dynamics simulations further validated complex stability, with consistent root mean square deviation (RMSD), root mean square fluctuation (RMSF), and secondary structure element (SSE) profiles. These findings support Mol_01 and Mol_09 as viable candidates for experimental validation."
40712016,10.1126/sciadv.adx1568,2025,1.0,Tier 1: enzymatic/direct,,"The replacement of canonical histones with their variant forms enables the dynamic and context-dependent regulation of the mammalian genome. Histone variants also play key roles in various pathological processes including malignancies. Among these, the aberrant expression of the testis-specific histone variant H2A.B contributes to the pathogenesis of Hodgkin lymphoma. The multifunctionality of histone variants is regulated by their posttranslational modifications (PTMs). However, the PTMs of H2A.B and their functional implications are unknown. Here, we demonstrate that the Amino terminus of H2A.B serves as a central hub for a diverse range of gene regulatory protein-protein interactions, orchestrated by phosphorylation and arginine methylation. This includes a mechanism whereby non-chromatin-bound H2A.B associates with SWI/SNF, which limits its access to the genome. Last, we identify phosphorylated H2A.B as a previously uncharacterized marker of active RNA polymerase II transcription start sites. These findings elucidate a central role for H2A.B in genome regulation and highlight the importance of its PTMs in modulating its multifunctional roles."
40608330,10.1128/jb.00184-25,2025,1.0,Tier 1: enzymatic/direct,,"Repair of DNA damage is essential for genome integrity. DNA damage elicits a DNA damage response (DDR) that includes error-free and error-prone, i.e., mutagenic, repair. The SOS response is a widely conserved system in bacteria that regulates the DDR and depends on the recombinase RecA and the transcriptional repressor LexA. However, RecA/LexA-independent DDRs have been identified in several bacterial species. Here, using a whole-cell, label-free quantitative proteomics approach, we map the proteomic response in <i>Myxococcus xanthus</i> to mitomycin C treatment and the lack of LexA. In doing so, we demonstrate a LexA-independent proteomic DDR in <i>M. xanthus</i>. Using a candidate approach, we identify <u>D</u>NA <u>d</u>amage-<u>i</u>nduced protein <u>A</u> (DdiA), a transcriptional regulator of the Xenobiotic Response Element (XRE) family, and demonstrate that it is involved in regulating the abundance of a subset of the LexA-independent DDR proteins. <i>ddiA</i> is expressed heterogeneously in a subpopulation of cells in the absence of exogenous genotoxic stress and reversibly induced population wide in response to such stress. DdiA, indirectly or directly, activates the expression of <i>dnaE2</i>, which encodes the DnaE2 error-prone DNA polymerase, and inhibits the expression of <i>recX</i>, which encodes RecX, a negative regulator of RecA. Accordingly, the Δ<i>ddiA</i> mutant not only has a lower mutation frequency than the wild type but also a fitness defect, suggesting that DdiA mediates a trade-off between fitness and mutagenesis. We speculate that the DdiA-dependent response is tailored to counter replication stress, thereby preventing the induction of the complete RecA/LexA-dependent DDR in the absence of exogenous genotoxic stress.IMPORTANCEDNA damage repair is essential for genome integrity and depends on the DNA damage response (DDR). While the RecA/LexA-dependent SOS response is widely conserved in bacteria, there are also RecA/LexA-independent DDRs. Here, we identify the DNA damage-induced transcriptional regulator DdiA in <i>Myxococcus xanthus</i> and demonstrate that it regulates part of a LexA-independent DDR. DdiA activates the expression of <i>dnaE2</i>, which encodes the DnaE2 error-prone DNA polymerase, and inhibits the expression of <i>recX</i>, which encodes RecX, a negative regulator of RecA. Because the Δ<i>ddiA</i> mutant has a lower mutation frequency than the wild type but also a fitness defect, we suggest that DdiA mediates a trade-off between fitness and mutagenesis, and the DdiA-dependent DDR is specifically tailored to counter replication stress."
40604579,10.1186/s12879-025-11271-0,2025,1.0,Tier 1: enzymatic/direct,,"On January 30, 2025, the Uganda Ministry of Health declared an outbreak of Sudan virus disease (SVD) following laboratory confirmation from postmortem samples of a suspected case identified through routine mortality surveillance for viral hemorrhagic fevers (VHFs) at Mulago National Referral Hospital, Kampala. This report describes the laboratory procedures used to confirm the 2025 SVD index case, emphasizing the vital role of rapid diagnostics in containing VHFs. We leveraged existing surveillance infrastructure to collect, package, transport, test, and report results for the index-confirmed case. Testing was conducted within the framework of the established laboratory quality and bio-risk management system at the Central Emergency Response and Surveillance Laboratory. The workflow consisted of sample delivery, reception, preparation, nucleic acid extraction, master mix preparation, quantitative reverse transcriptase polymerase chain Reaction (RT-qPCR), differential diagnosis for VHFs, parallel PCR testing and typing for Sudan virus (SUDV) confirmation, result validation, and reporting. The sample tested negative for Marburg, Yellow fever, Rift Valley fever, and Crimean-Congo Hemorrhagic Fever viruses. However, it tested positive for SUDV. Four parallel tests utilizing the Real Star® Filovirus Screen RT-PCR Kit 1.0 (Altona Diagnostics GmbH, Hamburg, Germany) on CFX96 Bio-Rad platforms, with varying sample volumes (140 µL, 90 µL, 50 µL, and 30 µL diluted with nuclease-free water), confirmed the presence of SUDV. The 50 µL sample had the lowest Ct values for the Orthoebolavirus target, while the 30 µL sample had the lowest Ct values for the internal control target. The turnaround time, from sample reception to results reporting to the Ministry of Health leadership, was less than 12 h. Mortality surveillance of VHFs is vital for the swift identification of Filovirus outbreaks in high-risk areas. Comprehensive VHFs panel testing is crucial for detecting pathogens in suspected cases. Sample dilution impacts diagnostic sensitivity, making optimized testing protocols crucial for precise molecular diagnostics. A rapid turnaround time is critical to outbreaks, enabling timely public health decisions such as case isolation, contact tracing, and resource allocation."
40512168,10.1099/jgv.0.002077,2025,1.0,Tier 1: enzymatic/direct,,"In April 2024, following the annual International Committee on Taxonomy of Viruses (ICTV) ratification vote on newly proposed taxa, the phylum <i>Negarnaviricota</i> was expanded by 1 new order, 1 new family, 6 new subfamilies, 34 new genera and 270 new species. One class, two orders and six species were renamed. Seven families and 12 genera were moved; ten species were renamed and moved; and nine species were abolished. This article presents the updated taxonomy of <i>Negarnaviricota</i> as currently accepted by the ICTV, providing an essential annual update on the classification of members of this phylum that deepen understandings of their evolution, and supports critical public health measures for virus identification and tracking."
